               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033501,            0.022989,           0.0027086,             0.90734,             0.76173,              0.8335,             0.50178,             0.03328,            0.020797,           0.0052684,           0.0083319,           0.0083319,           0.0083319
                  36,            0.033133,             0.02196,           0.0031228,             0.87137,             0.78289,             0.83349,              0.5009,             0.03335,            0.021084,           0.0055224,           0.0082394,           0.0082394,           0.0082394
                  37,             0.03324,            0.022128,            0.002763,             0.90404,             0.77121,             0.83776,             0.50278,            0.033223,            0.021111,           0.0055952,            0.008145,            0.008145,            0.008145
                  38,            0.032854,            0.022385,            0.002634,             0.88313,             0.79576,             0.84091,             0.50994,            0.032767,            0.020516,           0.0061895,           0.0080488,           0.0080488,           0.0080488
                  39,            0.033207,            0.022197,           0.0028871,             0.91704,             0.77338,             0.83976,             0.51061,            0.032972,            0.021036,           0.0044745,           0.0079509,           0.0079509,           0.0079509
                  40,            0.033609,            0.022144,           0.0027459,             0.89089,             0.78213,             0.83225,             0.50057,            0.032794,            0.021106,           0.0051731,           0.0078512,           0.0078512,           0.0078512
                  41,            0.033142,             0.02226,           0.0026911,              0.8811,             0.78323,             0.83771,             0.50395,            0.032176,             0.02126,           0.0055799,             0.00775,             0.00775,             0.00775
                  42,            0.032592,            0.021719,            0.002738,             0.90564,             0.77191,              0.8441,             0.50762,            0.033031,            0.021559,            0.005682,           0.0076472,           0.0076472,           0.0076472
                  43,            0.032836,            0.021845,           0.0026979,             0.88901,             0.78027,             0.83823,             0.50947,            0.033501,             0.02091,           0.0054141,            0.007543,            0.007543,            0.007543
                  44,            0.032568,             0.02139,           0.0028876,             0.92353,             0.76106,             0.84399,             0.51313,             0.03215,            0.020448,           0.0058699,           0.0074373,           0.0074373,           0.0074373
                  45,            0.032182,            0.021637,           0.0024452,             0.86527,             0.79505,              0.8367,             0.50621,            0.032794,            0.021246,           0.0063182,           0.0073303,           0.0073303,           0.0073303
                  46,            0.032799,            0.021815,           0.0028204,             0.89972,              0.7797,             0.84462,             0.51008,            0.032024,            0.021061,           0.0054746,           0.0072221,           0.0072221,           0.0072221
                  47,            0.032205,            0.021781,           0.0024976,             0.89347,             0.78619,             0.84456,             0.51328,            0.032456,             0.02097,           0.0061364,           0.0071127,           0.0071127,           0.0071127
